Easting [m,Northig [m,Hydro_FT-2D_MAP 2010 [m]
4574480.19,5303077.15,-0.78
4574436.65,5303256.24,0.12
4574415.24,5303290.07,-0.04
4574425.52,5303249.30,0.13
4574404.14,5303283.19,0.05
4574435.75,5303208.41,-0.02
4574443.82,5303173.61,0.02
4574452.14,5303139.04,-0.71
4574460.73,5303104.73,-1.00
4574393.82,5303323.89,-0.23
4574372.41,5303357.72,-0.48
4574382.75,5303317.09,-0.08
4574414.39,5303242.37,-0.04
4574393.03,5303276.33,-0.06
4574424.59,5303201.42,0.00
4574432.80,5303166.73,-0.74
4574441.27,5303132.31,-1.26
4574351.00,5303391.55,-0.69
4574361.37,5303350.99,-0.30
4574371.68,5303310.29,-0.14
4574403.27,5303235.44,-0.11
4574381.94,5303269.47,-0.23
4574413.45,5303194.42,-0.83
4574421.80,5303159.88,-1.38
4574334.36,5303420.41,-0.39
4574339.98,5303384.88,-0.52
4574350.32,5303344.25,-0.24
4574317.72,5303449.27,-0.01
4574323.04,5303413.59,-0.42
4574360.61,5303303.49,-0.35
4574392.15,5303228.51,-0.82
4574370.84,5303262.60,-0.78
4574402.34,5303187.46,-1.61
4574301.08,5303478.13,0.31
4574328.96,5303378.21,-0.35
4574339.28,5303337.52,-0.46
4574306.09,5303442.30,-0.26
4574311.70,5303406.76,-0.35
4574349.54,5303296.69,-0.73
4574381.06,5303221.61,-1.77
4574359.77,5303255.76,-1.70
4574284.44,5303506.99,0.62
4574289.15,5303471.01,-0.07
4574267.80,5303535.85,0.87
4574272.20,5303499.72,0.12
4574317.95,5303371.55,-0.49
4574328.24,5303330.78,-0.61
4574294.43,5303435.31,-0.37
4574300.37,5303399.94,-0.49
4574338.49,5303289.90,-1.47
4574251.16,5303564.71,1.09
4574277.17,5303463.86,-0.34
4574255.26,5303528.43,0.35
4574259.91,5303492.42,-0.28
4574306.93,5303364.87,-0.45
4574317.20,5303324.05,-1.22
4574282.79,5303428.34,-0.45
4574289.04,5303393.11,-0.49
4574233.57,5303593.67,0.66
4574238.31,5303557.14,0.52
4574265.21,5303456.73,-0.40
4574242.64,5303520.97,-0.18
4574247.63,5303485.13,-0.38
4574295.92,5303358.20,-1.03
4574271.14,5303421.35,-0.56
4574277.72,5303386.29,-0.87
4574215.98,5303622.62,0.22
4574220.76,5303586.05,0.49
4574225.38,5303549.52,-0.07
4574253.25,5303449.59,-0.60
4574230.05,5303513.52,-0.33
4574235.35,5303477.83,-0.67
4574259.51,5303414.38,-0.81
4574198.39,5303651.58,-0.12
4574203.21,5303614.96,0.41
4574207.88,5303578.39,0.14
4574212.47,5303541.92,-0.28
4574241.31,5303442.46,-0.68
4574217.46,5303506.07,-0.73
4574223.11,5303470.55,-0.57
4574180.81,5303680.54,-0.45
4574185.66,5303643.87,0.34
4574190.37,5303607.26,0.35
4574195.00,5303570.74,-0.14
4574199.57,5303534.32,-0.80
4574163.22,5303709.49,-0.73
4574204.90,5303498.64,-0.45
4574168.11,5303672.78,0.27
4574172.87,5303636.13,0.55
4574177.53,5303599.56,-0.01
4574182.13,5303563.09,-0.72
4574186.70,5303526.73,-0.44
4574145.63,5303738.45,-0.94
4574150.56,5303701.69,0.18
4574155.37,5303665.00,0.75
4574160.06,5303628.38,0.07
4574164.69,5303591.86,-0.69
4574169.29,5303555.45,-0.52
4574128.13,5303766.52,-0.25
4574133.01,5303730.60,0.09
4574110.62,5303794.60,0.41
4574137.87,5303693.87,0.92
4574093.12,5303822.67,1.03
4574142.59,5303657.20,0.16
4574147.25,5303620.63,-0.61
4574151.87,5303584.17,-0.60
4574115.90,5303758.98,0.19
4574120.36,5303722.74,1.09
4574098.79,5303787.36,0.32
4574125.11,5303686.02,0.25
4574075.62,5303850.74,1.64
4574081.68,5303815.73,0.46
4574129.81,5303649.40,-0.56
