X,Y,Zsim
0,1.875,0.0165145
0,1.886904,0.0165145
0,1.898808,0.0164399
0,1.910712,0.01656521
0,1.922616,0.016781589
0,1.93452,0.01691878
0,1.946424,0.017516852
0,1.958328,0.018194667
0,1.970232,0.0191033
0,1.982136,0.02013112
0,1.99404,0.021218508
0,2.005944,0.022321707
0,2.017848,0.023461837
0,2.029752,0.024790353
0,2.041656,0.026235268
0,2.05356,0.027890691
0,2.065464,0.029537672
0,2.077368,0.030971755
0,2.089272,0.032107079
0,2.101176,0.032918971
0,2.11308,0.033150374
0,2.125,0.032572737
0.1,1.812513065,0.025958
0.1,1.826935142,0.025958
0.1,1.841357219,0.02579985
0.1,1.855779296,0.025328665
0.1,1.870201374,0.024718699
0.1,1.884623451,0.024177179
0.1,1.899045528,0.023670661
0.1,1.913467605,0.023404445
0.1,1.927889682,0.0232198
0.1,1.94231176,0.02314377
0.1,1.956733837,0.023197993
0.1,1.971155914,0.023341944
0.1,1.985577991,0.023466999
0.1,2.000000068,0.02359655
0.1,2.014422145,0.023752095
0.1,2.028844223,0.023962335
0.1,2.0432663,0.024215802
0.1,2.057688377,0.024386921
0.1,2.072110454,0.024350729
0.1,2.086532531,0.024193106
0.1,2.100954609,0.023988596
0.1,2.115376686,0.023798986
0.1,2.129798763,0.023319088
0.1,2.14422084,0.022744329
0.1,2.158642917,0.022204296
0.1,2.173064995,0.021732716
0.1,2.187486935,0.021546695
0.2,1.75002613,0.0462895
0.2,1.763913574,0.0462895
0.2,1.777801018,0.0460181
0.2,1.791688463,0.04562879
0.2,1.805575907,0.045153711
0.2,1.819463352,0.04459574
0.2,1.833350796,0.044017816
0.2,1.84723824,0.043396284
0.2,1.861125685,0.042668456
0.2,1.875013129,0.04204356
0.2,1.888900573,0.041547454
0.2,1.902788018,0.041024409
0.2,1.916675462,0.040177768
0.2,1.930562907,0.039091891
0.2,1.944450351,0.037880252
0.2,1.958337795,0.036730377
0.2,1.97222524,0.035739389
0.2,1.986112684,0.0348531
0.2,2.000000128,0.03400164
0.2,2.013887573,0.033265626
0.2,2.027775017,0.032383714
0.2,2.041662462,0.031536842
0.2,2.055549906,0.030771658
0.2,2.06943735,0.030134642
0.2,2.083324795,0.029704328
0.2,2.097212239,0.029620795
0.2,2.111099684,0.029493666
0.2,2.124987128,0.029240749
0.2,2.138874572,0.028967824
0.2,2.152762017,0.028828442
0.2,2.166649461,0.028874848
0.2,2.180536905,0.029032013
0.2,2.19442435,0.029723112
0.2,2.208311794,0.03053245
0.2,2.222199239,0.031364005
0.2,2.236086683,0.032494355
0.2,2.24997387,0.033647619
0.3,1.687539194,0.0629185
0.3,1.702411035,0.0629185
0.3,1.717282876,0.06292015
0.3,1.732154716,0.062786235
0.3,1.747026557,0.062315612
0.3,1.761898397,0.06169995
0.3,1.776770238,0.061137805
0.3,1.791642078,0.060523075
0.3,1.806513919,0.059640517
0.3,1.82138576,0.058699916
0.3,1.8362576,0.057624524
0.3,1.851129441,0.056313572
0.3,1.866001281,0.054826614
0.3,1.880873122,0.053122403
0.3,1.895744962,0.050985263
0.3,1.910616803,0.048829986
0.3,1.925488644,0.046665338
0.3,1.940360484,0.044465804
0.3,1.955232325,0.042377774
0.3,1.970104165,0.040241846
0.3,1.984976006,0.038133862
0.3,1.999847846,0.036149575
0.3,2.014719687,0.034355718
0.3,2.029591528,0.032634496
0.3,2.044463368,0.031236597
0.3,2.059335209,0.029986037
0.3,2.074207049,0.028896033
0.3,2.08907889,0.02792413
0.3,2.10395073,0.027178267
0.3,2.118822571,0.02640514
0.3,2.133694412,0.025693076
0.3,2.148566252,0.025130669
0.3,2.163438093,0.024703752
0.3,2.178309933,0.024487527
0.3,2.193181774,0.024566974
0.3,2.208053614,0.025004626
0.3,2.222925455,0.025489364
0.3,2.237797296,0.026194527
0.3,2.252669136,0.027297925
0.3,2.267540977,0.028861382
0.3,2.282412817,0.030670394
0.3,2.297284658,0.032485305
0.3,2.312460806,0.034172874
0.4,1.625052259,0.070671
