X,Y,Zsim
0,1.8750,0.045
0,1.8854,0.045
0,1.8958,0.045
0,1.9062,0.046
0,1.9166,0.046
0,1.9271,0.047
0,1.9375,0.048
0,1.9479,0.048
0,1.9583,0.049
0,1.9687,0.049
0,1.9791,0.049
0,1.9895,0.048
0,1.9999,0.048
0,2.0103,0.047
0,2.0207,0.046
0,2.0312,0.046
0,2.0416,0.045
0,2.0520,0.044
0,2.0624,0.043
0,2.0728,0.043
0,2.0832,0.043
0,2.0936,0.043
0,2.1040,0.043
0,2.1144,0.043
0,2.1250,0.043
,,
0.2,1.6250,0.036
0.2,1.6369,0.036
0.2,1.6488,0.036
0.2,1.6607,0.036
0.2,1.6726,0.036
0.2,1.6845,0.036
0.2,1.6964,0.037
0.2,1.7083,0.037
0.2,1.7202,0.037
0.2,1.7321,0.037
0.2,1.7440,0.037
0.2,1.7560,0.037
0.2,1.7679,0.038
0.2,1.7798,0.038
0.2,1.7917,0.038
0.2,1.8036,0.038
0.2,1.8155,0.039
0.2,1.8274,0.04
0.2,1.8393,0.041
0.2,1.8512,0.041
0.2,1.8631,0.042
0.2,1.8750,0.043
0.2,1.8869,0.044
0.2,1.8988,0.045
0.2,1.9107,0.046
0.2,1.9226,0.047
0.2,1.9345,0.049
0.2,1.9464,0.051
0.2,1.9583,0.053
0.2,1.9702,0.055
0.2,1.9821,0.057
0.2,1.9940,0.059
0.2,2.0060,0.061
0.2,2.0179,0.063
0.2,2.0298,0.064
0.2,2.0417,0.065
0.2,2.0536,0.066
0.2,2.0655,0.067
0.2,2.0774,0.068
0.2,2.0893,0.067
0.2,2.1012,0.066
0.2,2.1131,0.065
0.2,2.1250,0.063
0.2,2.1369,0.061
0.2,2.1488,0.059
0.2,2.1607,0.057
0.2,2.1726,0.055
0.2,2.1845,0.053
0.2,2.1964,0.052
0.2,2.2083,0.05
0.2,2.2202,0.049
0.2,2.2321,0.047
0.2,2.2440,0.046
0.2,2.2560,0.045
0.2,2.2679,0.045
