x,y,dz
4574270,5303540,-0.007000
4574270,5303500,0.017000
4574320,5303370,-0.034000
4574330,5303330,-0.433000
4574290,5303440,0.598000
4574300,5303400,-0.004000
4574340,5303290,-0.239000
4574250,5303570,0.015000
4574280,5303460,0.552000
4574260,5303530,-0.018000
4574260,5303490,0.403000
4574310,5303370,-0.416000
4574320,5303320,-0.358000
4574280,5303430,0.005000
4574290,5303390,-0.371000
4574230,5303590,0.042000
4574240,5303560,0.051000
4574270,5303460,0.095000
4574240,5303520,0.279000
4574250,5303490,0.266000
4574300,5303360,-0.401000
4574270,5303420,-0.260000
4574280,5303390,-0.488000
4574220,5303620,0.023000
4574220,5303590,0.078000
4574230,5303550,0.183000
4574250,5303450,-0.118000
4574230,5303510,0.401000
4574240,5303480,0.011000
4574260,5303410,-0.544000
4574200,5303650,0.038000
4574200,5303620,0.085000
4574210,5303580,0.137000
4574210,5303540,0.396000
4574240,5303440,-0.618000
4574220,5303510,0.050000
4574220,5303470,-0.744000
4574180,5303680,0.033000
4574190,5303640,0.056000
4574190,5303610,0.113000
4574200,5303570,0.321000
4574200,5303530,0.048000
4574160,5303710,0.016000
4574210,5303500,-0.849000
4574170,5303670,-0.018000
4574170,5303640,0.097000
4574180,5303600,0.165000
4574180,5303560,-0.027000
4574190,5303530,-0.880000
4574150,5303740,-0.068000
4574150,5303700,-0.048000
4574160,5303670,0.060000
4574160,5303630,0.055000
4574170,5303590,-0.048000
4574170,5303560,-0.782000
4574130,5303770,-0.147000
4574130,5303730,-0.074000
4574110,5303800,-0.192000
4574140,5303690,0.031000
4574090,5303820,-0.189000
4574140,5303660,-0.034000
4574150,5303620,-0.083000
4574150,5303580,-0.662000
4574120,5303760,-0.086000
4574120,5303720,-0.024000
4574100,5303790,-0.117000
4574130,5303690,-0.094000
4574080,5303850,-0.216000
4574080,5303820,-0.148000
4574130,5303650,-0.093000
4574130,5303610,-0.568000
4574100,5303750,-0.065000
4574110,5303720,-0.165000
4574090,5303780,-0.124000
4574110,5303680,-0.180000
4574060,5303880,-0.229000
4574070,5303840,-0.193000
4574070,5303810,-0.128000
4574120,5303640,-0.497000
4574090,5303740,-0.194000
4574100,5303710,-0.173000
4574080,5303770,-0.281000
4574100,5303670,-0.416000
4574040,5303910,-0.262000
4574020,5303940,-0.294000
4574050,5303870,-0.233000
4574050,5303840,-0.176000
4574060,5303800,-0.319000
4574080,5303740,-0.167000
4574080,5303700,-0.355000
4574060,5303770,-0.142000
4574030,5303900,-0.265000
4574010,5303970,-0.408000
4574010,5303930,-0.294000
4574040,5303870,-0.196000
4574040,5303830,-0.326000
4574050,5303800,-0.150000
4574070,5303730,-0.332000
4574050,5303760,-0.255000
4574020,5303900,-0.258000
4573990,5303990,-0.415000
4573990,5303960,-0.302000
4574000,5303920,-0.234000
4574030,5303860,-0.312000
4574030,5303820,-0.144000
4574040,5303790,-0.213000
4574010,5303890,-0.250000
4573970,5304020,-0.389000
4573980,5303990,-0.305000
4573980,5303950,-0.202000
4573990,5303920,-0.223000
4574020,5303850,-0.113000
4574020,5303820,-0.134000
4574000,5303880,-0.128000
4573950,5304050,-0.272000
4573960,5304020,-0.329000
4573960,5303980,-0.177000
4573970,5303940,-0.126000
4573980,5303910,-0.089000
4574000,5303850,-0.096000
4573990,5303880,0.049000
4573940,5304080,-0.127000
4573940,5304040,-0.316000
4573950,5304010,-0.199000
4573950,5303970,-0.054000
4573960,5303940,-0.039000
4573970,5303900,0.026000
4573920,5304120,0.044000
4573920,5304070,-0.262000
4573930,5304040,-0.214000
4573930,5304000,0.010000
4573940,5303970,-0.019000
4573950,5303930,0.062000
4573900,5304150,0.168000
4573880,5304180,0.115000
4573900,5304110,-0.173000
4573910,5304060,-0.245000
4573910,5304030,0.109000
4573920,5303990,0.081000
4573930,5303960,0.108000
4573890,5304140,0.000000
4573860,5304220,-0.224000
4573870,5304180,0.125000
4573890,5304100,-0.236000
4573890,5304060,0.120000
4573900,5304020,0.080000
4573910,5303980,0.114000
4573870,5304130,-0.142000
4573840,5304250,-0.556000
4573850,5304210,0.241000
4573850,5304170,0.028000
4573890,5304010,-0.006000
4573880,5304090,0.059000
4573880,5304050,0.078000
4573860,5304130,-0.039000
4573830,5304280,-0.516000
4573830,5304250,0.264000
4573840,5304200,0.201000
4573840,5304160,-0.095000
4573870,5304040,-0.258000
4573860,5304080,0.126000
4573850,5304120,-0.015000
4573810,5304310,-0.309000
4573810,5304270,0.174000
4573820,5304240,0.300000
4573820,5304200,-0.097000
4573830,5304150,-0.061000
4573850,5304070,-0.193000
4573830,5304110,-0.123000
4573790,5304340,-0.167000
4573800,5304300,0.045000
4573800,5304270,0.295000
4573810,5304230,-0.120000
4573810,5304190,-0.154000
4573810,5304150,-0.132000
4573780,5304370,0.161000
4573780,5304330,-0.023000
4573780,5304300,0.137000
4573790,5304260,-0.122000
4573790,5304220,-0.144000
4573800,5304180,-0.083000
4573760,5304400,0.429000
4573760,5304360,-0.004000
4573770,5304320,0.083000
4573770,5304290,-0.119000
4573770,5304250,-0.212000
4573780,5304220,-0.101000
4573740,5304430,0.784000
4573750,5304390,0.099000
4573750,5304350,-0.008000
4573750,5304320,-0.047000
4573760,5304280,-0.160000
4573760,5304250,-0.089000
4573730,5304460,1.052000
4573730,5304420,0.224000
4573730,5304380,-0.038000
4573740,5304350,-0.062000
4573740,5304310,-0.141000
4573740,5304280,-0.035000
4573710,5304490,1.031000
4573710,5304450,0.433000
4573710,5304410,-0.142000
4573720,5304380,-0.073000
4573720,5304340,-0.144000
4573730,5304300,-0.201000
4573700,5304520,0.834000
4573700,5304480,0.639000
4573700,5304440,-0.191000
4573700,5304400,-0.084000
4573700,5304370,-0.197000
4573710,5304330,-0.320000
4573680,5304470,-0.103000
4573680,5304550,0.540000
4573680,5304510,0.787000
4573690,5304430,-0.173000
4573690,5304400,-0.319000
4573690,5304360,-0.651000
4573670,5304460,-0.178000
4573670,5304500,0.071000
4573670,5304540,0.828000
4573670,5304430,-0.422000
4573670,5304390,-0.844000
4573660,5304460,-0.473000
4573660,5304490,-0.146000
4573650,5304530,0.266000
4573650,5304610,-0.069000
4573650,5304570,0.707000
4573630,5304640,-0.379000
4573660,5304420,-0.769000
4573640,5304450,-0.924000
4573640,5304490,-0.576000
4573640,5304530,-0.117000
4573640,5304560,0.444000
4573640,5304600,0.543000
4573610,5304680,-0.580000
4573620,5304630,0.169000
4573630,5304480,-0.995000
4573630,5304520,-0.627000
4573630,5304560,-0.122000
4573620,5304590,0.489000
4573610,5304630,0.392000
4573600,5304710,-0.660000
4573600,5304670,-0.215000
4573620,5304510,-0.971000
4573610,5304550,-0.646000
4573610,5304590,-0.165000
4573590,5304620,-0.213000
4573590,5304660,0.147000
4573580,5304750,-0.645000
4573580,5304700,-0.531000
4573560,5304780,-0.528000
4573600,5304540,-0.710000
4573600,5304580,-0.594000
4573580,5304610,-0.361000
4573570,5304660,-0.143000
4573570,5304700,-0.049000
4573560,5304740,-0.601000
4573540,5304820,-0.342000
4573550,5304780,-0.613000
4573590,5304570,-0.303000
4573570,5304610,0.335000
4573560,5304650,0.024000
4573560,5304690,0.006000
4573550,5304730,-0.206000
4573520,5304850,-0.147000
4573530,5304770,-0.264000
4573530,5304810,-0.551000
4573510,5304890,0.009000
4573550,5304640,0.735000
4573540,5304680,0.378000
4573540,5304730,0.120000
4573510,5304850,-0.394000
4573520,5304760,0.252000
4573510,5304800,-0.290000
4573490,5304920,0.125000
4573490,5304880,-0.171000
4573530,5304680,0.823000
4573520,5304720,0.638000
4573500,5304840,-0.268000
4573500,5304760,0.727000
4573500,5304800,0.363000
4573470,5304960,0.234000
4573470,5304920,0.046000
4573480,5304880,-0.173000
4573510,5304710,0.705000
4573480,5304830,0.413000
4573490,5304750,0.393000
4573490,5304790,0.715000
