x,y,dz
4574400,5303200,0.88200
4574400,5303300,0.52900
4574300,5303500,-0.10000
4574300,5303500,0.22300
4574300,5303500,-0.02900
4574300,5303500,0.31300
4574300,5303400,-0.00500
4574300,5303300,-0.26800
4574300,5303400,-0.17700
4574300,5303400,-0.02900
4574300,5303300,0.28800
4574300,5303600,0.02500
4574300,5303500,-0.18800
4574300,5303500,0.40400
4574300,5303500,-0.20300
4574300,5303400,-0.04500
4574300,5303300,-0.01400
4574300,5303400,-0.04700
4574300,5303400,-0.08500
4574200,5303600,0.56800
4574200,5303600,0.48000
4574300,5303500,-0.05600
4574200,5303500,-0.21800
4574300,5303500,-0.07600
4574300,5303400,-0.28600
4574300,5303400,-0.13100
4574300,5303400,-0.29500
4574200,5303600,1.13000
4574200,5303600,0.39600
4574200,5303600,-0.23400
4574300,5303500,-0.26500
4574200,5303500,-0.12100
4574200,5303500,-0.29600
4574300,5303400,0.21000
4574200,5303700,1.18100
4574200,5303600,0.29200
4574200,5303600,-0.20300
4574200,5303500,-0.16500
4574200,5303400,0.41600
4574200,5303500,-0.38300
4574200,5303500,-0.18900
4574200,5303700,1.23200
4574200,5303600,0.18800
4574200,5303600,-0.18400
4574200,5303600,-0.19300
4574200,5303500,-0.37600
4574200,5303700,1.28200
4574200,5303500,-0.05700
4574200,5303700,0.08400
4574200,5303600,-0.16100
4574200,5303600,-0.23500
4574200,5303600,-0.38300
4574200,5303500,0.56300
4574200,5303700,0.31700
4574200,5303700,-0.02800
4574200,5303700,-0.13700
4574200,5303600,-0.26400
4574200,5303600,-0.38900
4574200,5303600,0.56700
4574100,5303800,0.07700
4574100,5303700,-0.14600
4574100,5303800,0.02000
4574100,5303700,-0.11200
4574100,5303800,-0.00200
4574100,5303700,-0.29300
4574200,5303600,-0.38800
4574200,5303600,0.63800
4574100,5303800,-0.13500
4574100,5303700,-0.07700
4574100,5303800,-0.10000
4574100,5303700,-0.32300
4574100,5303900,-0.04000
4574100,5303800,-0.06500
4574100,5303700,-0.38300
4574100,5303600,0.53500
4574100,5303800,-0.11700
4574100,5303700,-0.34900
4574100,5303800,-0.15700
4574100,5303700,-0.37800
4574100,5303900,-0.01800
4574100,5303800,-0.03000
4574100,5303800,-0.18500
4574100,5303600,0.13900
4574100,5303700,-0.32200
4574100,5303700,-0.37100
4574100,5303800,-0.31800
4574100,5303700,-0.25400
4574000,5303900,0.01800
4574000,5303900,1.71200
4574100,5303900,0.00400
4574100,5303800,-0.19900
4574100,5303800,-0.29600
4574100,5303700,-0.31100
4574100,5303700,-0.61600
4574100,5303800,-0.38200
4574000,5303900,0.03600
4574000,5304000,1.48200
4574000,5303900,-0.07300
4574000,5303900,-0.21500
4574000,5303800,-0.27100
4574100,5303800,-0.41600
4574100,5303700,-0.54300
4574100,5303800,-0.53800
4574000,5303900,-0.24000
4574000,5304000,1.25400
4574000,5304000,-0.19200
4574000,5303900,-0.24100
4574000,5303900,-0.25200
4574000,5303800,-0.46200
4574000,5303800,-0.50300
4574000,5303900,-0.24200
4574000,5304000,1.02100
4574000,5304000,-0.30200
4574000,5304000,-0.19900
4574000,5303900,-0.31500
4574000,5303900,-0.48000
4574000,5303800,-0.56000
4574000,5303900,-0.53600
4574000,5304100,0.79600
4574000,5304000,-0.35500
4574000,5304000,-0.16700
4574000,5303900,-0.25900
4574000,5303900,-0.53800
4574000,5303900,-0.61700
4574000,5303900,-0.69200
4573900,5304100,-0.17300
4573900,5304000,-0.43500
4574000,5304000,-0.10100
4574000,5304000,-0.31900
4574000,5303900,-0.52600
4574000,5303900,-0.64500
4573900,5304100,-0.11600
4573900,5304100,-0.44100
4573900,5304000,-0.00400
4573900,5304000,-0.41700
4573900,5304000,-0.49000
4574000,5303900,-0.56900
4573900,5304200,0.04100
4573900,5304200,-0.07100
4573900,5304100,-0.39900
4573900,5304100,0.02500
4573900,5304000,-0.46100
4573900,5304000,-0.76000
4573900,5304000,-0.57800
4573900,5304100,-0.39400
4573900,5304200,-0.16700
4573900,5304200,-0.11700
4573900,5304100,-0.03600
4573900,5304100,-0.60100
4573900,5304000,-0.70700
4573900,5304000,-0.62000
4573900,5304100,-0.06500
4573800,5304300,0.97600
4573900,5304200,-0.03900
4573900,5304200,-0.06800
4573900,5304000,-0.20500
4573900,5304100,-0.50200
4573900,5304100,-0.81800
4573900,5304100,-0.46500
4573800,5304300,1.12200
4573800,5304200,0.14100
4573800,5304200,-0.10300
4573800,5304200,-0.50300
4573900,5304000,0.20200
4573900,5304100,-0.74400
4573900,5304100,-0.69600
4573800,5304300,0.88600
4573800,5304300,0.10100
4573800,5304200,-0.18600
4573800,5304200,-0.49100
4573800,5304200,-0.72500
4573900,5304100,-0.22100
4573800,5304100,-0.38300
4573800,5304300,0.31100
4573800,5304300,0.05700
4573800,5304300,-0.10400
4573800,5304200,-0.47900
4573800,5304200,-0.65600
4573800,5304200,-0.76900
4573800,5304400,0.07300
4573800,5304300,-0.12800
4573800,5304300,-0.13600
4573800,5304300,-0.50300
4573800,5304200,-0.66600
4573800,5304200,-0.70800
4573800,5304400,0.07800
4573800,5304400,0.05200
4573800,5304300,-0.10500
4573800,5304300,-0.56000
4573800,5304300,-0.68800
4573800,5304200,-0.75700
4573700,5304400,0.05700
4573800,5304400,-0.04800
4573800,5304400,-0.05000
4573800,5304300,-0.53900
4573800,5304300,-0.60300
4573800,5304300,-0.61200
4573700,5304500,0.13400
4573700,5304400,-0.06100
4573700,5304400,-0.12000
4573700,5304400,-0.51000
4573700,5304300,-0.51800
4573700,5304300,-0.66600
4573700,5304500,0.23000
4573700,5304500,-0.05200
4573700,5304400,-0.10800
4573700,5304400,-0.53200
4573700,5304300,-0.44800
4573700,5304300,-0.70700
4573700,5304500,0.32700
4573700,5304500,-0.03500
4573700,5304400,-0.17400
4573700,5304400,-0.52200
4573700,5304400,-0.48300
4573700,5304300,-0.48200
4573700,5304500,-0.19300
4573700,5304500,0.41500
4573700,5304500,0.00500
4573700,5304400,-0.50400
4573700,5304400,-0.39900
4573700,5304400,-0.01500
4573700,5304500,-0.42200
4573700,5304500,-0.23800
4573700,5304500,0.06100
4573700,5304400,-0.39400
4573700,5304400,-0.17500
4573700,5304500,-0.36000
4573700,5304500,-0.35300
