x,y,dz
4574270,5303540,-0.017058
4574270,5303500,0.017638
4574320,5303370,-0.002267
4574330,5303330,-0.377136
4574290,5303440,0.354049
4574300,5303400,0.039568
4574340,5303290,-0.490560
4574250,5303570,-0.022953
4574280,5303460,0.253167
4574260,5303530,0.028447
4574260,5303490,0.157399
4574310,5303370,-0.304004
4574320,5303320,-0.473803
4574280,5303430,0.093848
4574290,5303390,-0.212753
4574230,5303590,-0.044380
4574240,5303560,0.057503
4574270,5303460,0.152008
4574240,5303520,0.084631
4574250,5303490,0.199838
4574300,5303360,-0.461620
4574270,5303420,-0.119446
4574280,5303390,-0.516682
4574220,5303620,-0.115990
4574220,5303590,0.065626
4574230,5303550,0.069479
4574250,5303450,-0.056883
4574230,5303510,0.180351
4574240,5303480,-0.009967
4574260,5303410,-0.537991
4574200,5303650,-0.150578
4574200,5303620,0.047715
4574210,5303580,0.051707
4574210,5303540,0.107887
4574240,5303440,-0.588839
4574220,5303510,-0.012834
4574220,5303470,-0.656911
4574180,5303680,-0.193010
4574190,5303640,0.013726
4574190,5303610,0.055892
4574200,5303570,0.037757
4574200,5303530,-0.048361
4574160,5303710,-0.230393
4574210,5303500,-0.701622
4574170,5303670,-0.054667
4574170,5303640,0.040320
4574180,5303600,-0.038963
4574180,5303560,-0.104906
4574190,5303530,-0.695424
4574150,5303740,-0.295989
4574150,5303700,-0.115672
4574160,5303670,0.001115
4574160,5303630,-0.107421
4574170,5303590,-0.118248
4574170,5303560,-0.632514
4574130,5303770,-0.368395
4574130,5303730,-0.162927
4574110,5303800,-0.415011
4574140,5303690,-0.049025
4574090,5303820,-0.433511
4574140,5303660,-0.140293
4574150,5303620,-0.131126
4574150,5303580,-0.544418
4574120,5303760,-0.219270
4574120,5303720,-0.092662
4574100,5303790,-0.272167
4574130,5303690,-0.164254
4574080,5303850,-0.462602
4574080,5303820,-0.328341
4574130,5303650,-0.152860
4574130,5303610,-0.448300
4574100,5303750,-0.138158
4574110,5303720,-0.199490
4574090,5303780,-0.202407
4574110,5303680,-0.172816
4574060,5303880,-0.474592
4574070,5303840,-0.397310
4574070,5303810,-0.234988
4574120,5303640,-0.375388
4574090,5303740,-0.198218
4574100,5303710,-0.145006
4574080,5303770,-0.273064
4574100,5303670,-0.245428
4574040,5303910,-0.479503
4574020,5303940,-0.487007
4574050,5303870,-0.442817
4574050,5303840,-0.302190
4574060,5303800,-0.282682
4574080,5303740,-0.104675
4574080,5303700,-0.168184
4574060,5303770,-0.067299
4574030,5303900,-0.495915
4574010,5303970,-0.505486
4574010,5303930,-0.498233
4574040,5303870,-0.319982
4574040,5303830,-0.298269
